Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Allegheny Center,1,1389,193,394,120,48,29,0,10,46,40,0,10,0,10,33,43,0,10,27,22,0,10,2,5,6,6,10,10,0,10,21,32,150,60,51,35,995,135
Allegheny West,2,343,96,61,44,0,10,0,10,16,28,0,10,0,10,0,10,0,10,0,10,0,10,0,10,9,12,0,10,9,12,0,10,2,4,25,22,282,74
Allentown,3,2520,449.5030589,965,312.8002558,19,22.82542442,23,28.72281323,120,103.0388276,55,55,96,85.37564055,57,44.92215489,60,53.15072906,36,32.95451411,44,38.52272057,53,51.97114584,20,24.18677324,61,51.31276644,41,53.82378656,81,72.71863585,125,87.12060606,74,101.4692072,1555,267.8077669
Arlington,4,1823,342.3024978,427,127.7223551,7,17.91647287,6,17.91647287,5,15.77973384,24,19.54482029,36,35.94440151,9,15.3622915,19,19.74841766,18,19.10497317,8,17.91647287,31,35.60898763,40,28.86173938,12,16.88194302,37,27,17,27.85677655,142,69.23149572,16,18.49324201,1396,267.1591286
Arlington Heights,5,213,115,40,49,28,49,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,14,0,10,173,87
Banksville,6,3787,569.2152493,402,186.1800204,28,37.74917218,0,20,23,39.05124838,22,39.05124838,0,20,53,66.30233782,54,66.30233782,17,32.92415527,30,38.89730068,0,20,0,20,13,28,15,31.2409987,25,33.37663854,23,32.92415527,99,93.61623791,3385,509.4644247
Bedford Dwellings,7,1251,149,337,121,28,34,57,43,28,41,0,10,22,23,0,10,21,19,13,20,9,14,43,29,55,34,3,5,22,20,12,19,24,20,0,10,914,102
Beechview,8,7770,685.3334955,1783,313.2682557,145,74.33707016,47,44.88875137,51,41.71330723,211,108.0879272,26,39.01281841,62,55.00909016,49,54.27706698,53,49.07137659,74,60.81118318,67,54.81788029,45,44.65422712,78,57.03507693,26,36.95943723,80,58.49786321,559,142.1126314,210,83.73171442,5987,543.2439599
Beltzhoover,9,1609,310.2821297,342,137.640837,19,24.97999199,0,20,0,20,0,20,9,17.2626765,21,36.3868108,13,26.45751311,12,25.70992026,0,20,24,38.15756806,0,20,34,41.76122604,40,49.2036584,24,37.26929031,140,76.64202503,6,20,1267,242.1590387
Bloomfield,10,8498,469.304805,2185,264.3841901,39,32.90896534,30,39.30648801,41,42.35563717,18,36.9459064,18,34.55430509,35,37.34969879,3,30.59411708,28,40.17461885,20,32.52691193,118,65.30696747,10,29.96664813,34,45.35416188,27,38.96151948,88,63.34035049,693,166.0271062,983,181.5268575,6313,385.1648998
Bluff,11,6289,395.5628901,3625,295.7803239,22,22.91287847,18,21.65640783,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,18,28,0,20,30,39.30648801,3376,300.1016494,161,66.03029608,2664,248.9096222
Bon Air,12,874,169,235,114,0,10,14,22,14,21,0,10,14,22,7,14,14,20,35,55,26,21,0,10,13,19,0,10,30,33,49,49,14,27,5,8,639,121
Brighton Heights,13,7118,532.2414865,1511,305.9068486,157,99.55902772,102,50.33885179,71,47.72839826,75,51.35172831,22,35.67912555,78,55.3895297,109,62.59392942,80,57.45432969,56,34.9141805,60,55.90169944,31,33.57082066,85,51.52669211,131,87.80091116,56,38.19685851,257,92.2279784,141,72.62919523,5607,393.1907934
Brookline,14,12777,912.2581871,2824,447.6192579,219,97.73433378,125,79.28429857,131,97.897906,179,98.94442885,174,94.57801013,128,86.81589716,141,81.88406438,109,74.61903242,133,104.1681333,174,98.19368615,136,71.20393248,168,92.20629046,122,72.01388755,116,74.18894796,556,187.6992275,213,88.84255737,9953,668.7458411
California-Kirkbride,15,739,130,152,55,8,7,31,29,5,7,16,19,3,5,8,9,0,10,9,12,9,9,1,3,6,8,2,3,1,2,13,12,36,36,4,5,587,100
Carrick,16,9825,801.2864656,2274,431.7534018,111,61.91122677,68,71.42828571,185,89.75522269,182,91.7986928,124,74.73285757,104,72.38784428,144,63.27716808,95,62.70566163,143,66,181,81.22191822,58,49.53786431,141,80.88881258,74,48.13522619,71,51.68171824,419,134.7219359,174,100.9554357,7551,526.8662069
Central Business District,17,4037,454.4051056,1685,340.5789189,21,30.8058436,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,12,28.70540019,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,36,36.85105155,1475,333.0240232,141,65.96969001,2352,315.4837555
Central Lawrenceville,18,4653,371.1778549,594,150.1032978,27,24.61706725,36,35.56683849,9,26.92582404,46,39.87480407,7,25.37715508,3,23.15167381,20,26.92582404,7,24.91987159,26,36.44173432,30,24.8394847,22,25.8069758,4,23.15167381,23,41.53311931,12,25.15949125,162,72.29799444,160,65.47518614,4059,332.0346367
Central Northside,19,2828,333.6135489,542,197.4056737,22,22.58317958,23,32.95451411,27,30.47950131,21,29.63106478,21,17.91647287,21,29.59729717,31,27.82085549,31,29.27456234,99,53.15072906,9,14.59451952,31,33.95585369,13,26.15339366,55,44.19275959,25,33.1662479,29,20.4450483,84,63.73382148,2286,249.3030285
Central Oakland,20,5822,659.4164087,4656,653.3460033,31,13.41640787,6,15.77973384,6,19.20937271,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,4206,613.2992744,407,166.3309953,1166,239.1777582
Chartiers City,21,560,172,118,91,27,40,0,10,13,19,13,19,24,36,13,19,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,14,17,14,16,442,120
Chateau,22,3,3,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,3,3
Crafton Heights,23,3791,363.8516181,996,211.7687418,70,51.03920062,67,44.29446918,91,54.67174773,87,52.74466798,64,41.83300133,36,34.89985673,56,34.43835072,57,48.34252786,88,57.6367938,47,34.36568055,37,37.85498646,15,21.65640783,19,21.02379604,77,56.86826883,167,78.24321057,18,16.52271164,2795,246.2864186
Crawford-Roberts,24,2155,335.8288254,555,205.5480479,50,47.29693436,28,36.40054945,24,37.36308338,0,14.14213562,42,42.94182111,24,31.01612484,34,31.6227766,18,23.2594067,7,14.86606875,22,31.6227766,21,28.7923601,32,43.56604182,32,44.14748011,0,14.14213562,194,115.2475596,27,36.68787266,1600,210.0690363
Duquesne Heights,25,2387,319.812445,395,106.7754653,28,45.12205669,43,32.57299495,0,14.14213562,14,17.20465053,11,19.72308292,0,14.14213562,30,19.41648784,9,18.02775638,30,27.65863337,13,18.86796226,0,14.14213562,0,14.14213562,3,12.20655562,36,26.41968963,81,47.4341649,97,77.20103626,1992,260.3420827
East Allegheny,26,2095,284.4011252,312,161.0031056,9,17.20465053,0,14.14213562,0,14.14213562,18,19.79898987,8,17.20465053,43,51.97114584,11,20.59126028,0,14.14213562,0,14.14213562,23,24.75883681,0,14.14213562,13,20.59126028,10,18.86796226,21,25.07987241,78,76.53757247,78,102.5914226,1783,233.3838041
East Carnegie,27,592,122,133,52,0,10,0,10,11,12,6,9,0,10,0,10,0,10,0,10,0,10,24,26,6,9,19,26,0,10,0,10,42,26,25,31,459,101
East Hills,28,2716,411.4292163,719,265.3205608,50,55.82114295,98,74.06753675,31,38.67815921,26,43.37049688,25,29.47880595,12,19.89974874,33,35.90264614,55,54.85435261,17,31.36877428,36,36.66060556,26,28.72281323,18,23.68543856,53,45.13313639,57,45.82575695,167,92.62289134,15,20.90454496,1997,311.3759785
East Liberty,29,5282,569.6182932,1420,336.110101,85,65.1459899,43,53.38539126,44,49.55804677,30,41.78516483,65,67.94115101,22,32.40370349,8,29.93325909,29,35.80502758,36,36.60601044,108,79.84985911,76,71.44928271,69,52.42136969,77,67.86015031,133,121.5730233,288,113.8771268,307,103.9038017,3862,378.1745629
Elliott,30,2468,406.1452942,860,242.4994845,60,55.65069631,38,50.04997503,46,46.021734,26,33.1662479,56,42.42640687,35,36.5650106,37,31.19294792,35,33.30165161,98,56.70978752,20,34.98571137,122,52.38320341,20,34.07345007,67,57.18391382,64,44.51965858,99,49.76946855,37,29.58039892,1608,231.0865639
Esplen,31,309,118,63,47,15,26,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,9,0,10,0,10,5,9,0,10,37,25,0,10,246,93
Fairywood,32,1121,221,237,123,13,15,0,10,0,10,0,10,0,10,9,13,8,13,0,10,0,10,9,14,0,10,0,10,18,30,0,10,101,62,79,77,884,210
Fineview,33,1198,279.8660394,328,127.7810628,11,15.62049935,20,27.85677655,28,32.57299495,21,22.84731932,0,14.14213562,0,14.14213562,15,23.2594067,23,32.57299495,6,13.45362405,6,13.45362405,28,42.20189569,9,18.02775638,16,16.64331698,56,52.95280918,74,51,15,23.2594067,870,190.2051524
Friendship,34,1801,258.172423,604,152.2005256,13,24.16609195,8,16.40121947,0,14.14213562,0,14.14213562,17,26,0,14.14213562,1,10.19803903,0,14.14213562,1,10.19803903,1,10.44030651,12,18.43908891,2,10.77032961,11,18.86796226,23,31.40063694,106,66.06814664,409,130.1768028,1197,226.1083811
Garfield,35,3775,369.9026899,1037,189.6127633,46,39.50949253,22,22.93468988,113,56.11595139,21,27.29468813,28,28.4956137,41,29.05167809,40,33.3166625,51,38.17066937,46,44.31703961,104,53.1789432,38,31.63858404,92,56.16048433,47,43.18564576,51,28.4956137,259,106.4283797,38,28.53068524,2738,293.1381927
Glen Hazel,36,673,213,168,101,12,20,11,24,10,16,0,10,0,10,0,10,11,23,0,10,0,10,0,10,0,10,21,34,23,31,35,57,45,49,0,10,505,162
Greenfield,37,7402,674.3871292,1552,294.5369247,130,65.74191966,90,57.85326266,20,34.02939905,125,102.205675,20,46.57252409,42,60.24118193,77,85.35806933,33,36.40054945,18,33.48133809,32,38.09199391,55,64,32,42.44997055,80,66.3249576,107,82.58329129,392,136.5540186,299,135.6834551,5850,513.7966524
Hays,38,376,93,58,33,0,10,0,10,0,10,9,13,0,10,0,10,0,10,19,27,9,13,0,10,6,9,0,10,3,6,6,9,6,9,0,10,318,82
Hazelwood,39,4063,608.6526103,1067,302.8019155,68,65.35288823,78,57.93962375,47,45.49725266,86,52.82045059,83,115.1911455,26,37.41657387,44,41.6533312,53,53.21653878,46,40.70626487,87,64.85368147,62,47.94788838,89,67.37210105,29,30.69201851,62,61.26989473,191,90.71934744,16,27.27636339,2996,385.7330683
Highland Park,40,6551,793.8803436,1806,388.1610491,153,90.86803618,107,68.39590631,45,45.08880127,32,39.35733731,132,94.73119866,41,50.28916384,41,46.64761516,46,49.56813493,43,36.60601044,99,86.98850499,51,52.92447449,102,85.9418408,133,84.08329204,11,26.79552201,391,157.6578574,379,187.8110753,4745,558.6662689
Homewood North,41,3055,423.02364,1276,283.7992248,145,79.21489759,67,47.54997371,44,42.10700654,91,51.28352562,103,67.03730305,81,51.59457336,67,45.23273151,68,53.38539126,75,48,57,34.71310992,20,23.66431913,80,50.46781152,11,23.32380758,70,59.07622195,275,88.50423719,22,35.86084215,1779,239.8436991
Homewood South,42,2189,303.3957811,588,156.47364,83,50.19960159,54,40.02499219,18,29.83286778,18,27.54995463,44,34.49637662,38,36.98648402,29,29.78254522,44,32.87856445,0,24.49489743,28,31.2409987,31,30.3644529,37,29.13760457,15,23.10844002,28,25.37715508,83,43.58898944,38,30.03331484,1601,219.4082952
